Date,Index_Name,Country,Open,High,Low,Close,Volume,Daily_Change_Percent
2020-03-14,Dow Jones,USA,24277.22,24984.15,24174.65,24705.41,35671806,1.76
2021-08-07,CAC 40,France,34212.74,34481.2,34205.19,34355.64,12648102,0.42
2023-01-18,FTSE 100,UK,32325.18,32417.56,32073.61,32325.64,45099006,0.0
2021-01-11,FTSE 100,UK,10235.27,10417.93,9710.94,9956.33,45614597,-2.73
2020-01-08,KSE 100,Pakistan,15713.1,15898.58,15151.1,15252.07,28812615,-2.93
2021-04-01,NASDAQ Composite,USA,16855.9,17118.38,16251.29,16418.59,13753012,-2.59
2022-02-03,S&P 500,USA,12015.77,12158.7,11980.65,12116.28,32600888,0.84
2021-03-26,DAX,Germany,25877.04,26081.34,25751.46,26063.8,25533977,0.72
2022-11-08,CAC 40,France,8968.93,9230.08,8795.08,9002.66,14193487,0.38
2020-02-03,FTSE 100,UK,17525.79,17722.0,17338.63,17693.34,9889782,0.96
2022-06-20,Hang Seng,Hong Kong,6029.37,6466.71,5936.89,6286.15,49799856,4.26
2023-06-17,Nikkei 225,Japan,8831.57,8892.71,8413.7,8679.78,5540478,-1.72
2024-11-06,CAC 40,France,27916.43,28421.85,27704.0,28303.74,23064488,1.39
2024-01-24,S&P 500,USA,34379.58,34510.7,34251.0,34443.92,30094976,0.19
2020-08-06,SSE Composite,China,4269.98,4395.71,4111.95,4117.03,24975302,-3.58
2022-08-20,Nikkei 225,Japan,27869.78,27942.98,27155.57,27428.18,34320215,-1.58
2024-05-28,Nikkei 225,Japan,4171.77,4659.25,4070.34,4628.4,38377762,10.95
2024-01-17,FTSE 100,UK,19494.17,19530.21,18973.52,19039.24,27884841,-2.33
2024-08-28,DAX,Germany,31390.85,31947.16,31315.4,31711.61,41583652,1.02
2021-03-04,KSE 100,Pakistan,20781.33,21020.18,20497.29,20522.56,40794087,-1.25
2022-07-13,Hang Seng,Hong Kong,23002.43,23034.42,22780.55,23005.99,18931056,0.02
2020-01-22,Nikkei 225,Japan,26219.93,26428.59,26018.96,26413.11,11523401,0.74
2023-10-12,Dow Jones,USA,35495.47,35780.92,35382.4,35455.11,8697350,-0.11
2023-09-05,KSE 100,Pakistan,22066.96,22364.41,21726.74,21744.46,12699723,-1.46
2020-11-11,Nikkei 225,Japan,20175.82,20638.86,20128.05,20548.44,1834175,1.85
2022-03-23,NASDAQ Composite,USA,17012.11,17302.93,16999.53,17177.9,6031341,0.97
2020-01-11,DAX,Germany,39001.4,39697.06,38840.57,39487.61,22288948,1.25
2023-11-14,Nikkei 225,Japan,33437.1,33764.49,33286.35,33711.59,4495922,0.82
2022-02-10,DAX,Germany,8703.18,8911.26,8293.67,8577.27,18855705,-1.45
2024-05-19,Nikkei 225,Japan,30575.6,31085.6,30574.49,30899.41,17949792,1.06
2021-04-08,KSE 100,Pakistan,1342.91,1701.66,1138.84,1563.86,41162854,16.45
2021-05-13,NASDAQ Composite,USA,16995.84,17202.72,16602.38,16641.26,14608933,-2.09
2023-07-02,CAC 40,France,38664.33,38845.56,38517.01,38777.96,35808002,0.29
2022-09-25,KSE 100,Pakistan,27008.33,27432.8,26947.21,27299.37,13259974,1.08
2020-06-01,SSE Composite,China,30794.56,31069.89,30240.41,30299.64,9070024,-1.61
2022-03-02,NASDAQ Composite,USA,30558.24,30724.92,30511.45,30544.77,47958102,-0.04
2023-10-06,Nikkei 225,Japan,32642.71,32840.08,32437.35,32654.44,13434742,0.04
2020-06-15,Dow Jones,USA,15742.97,15958.68,15194.75,15345.92,25226332,-2.52
2020-02-15,Hang Seng,Hong Kong,4096.86,4384.58,3839.4,4328.35,29190067,5.65
2024-04-22,FTSE 100,UK,32357.67,32587.91,32078.13,32362.35,4673926,0.01
2021-09-11,Nikkei 225,Japan,35691.67,35794.68,35199.11,35367.48,35077490,-0.91
2023-08-12,Nikkei 225,Japan,32954.53,33688.88,32697.44,33391.39,13665804,1.33
2021-05-26,Hang Seng,Hong Kong,35547.15,35978.03,35454.71,35835.47,31179824,0.81
2023-08-30,FTSE 100,UK,31118.78,31226.18,30746.15,31012.52,28526411,-0.34
2024-03-26,Dow Jones,USA,24434.91,24860.65,24394.55,24574.98,46548759,0.57
2023-01-22,SSE Composite,China,35324.08,35648.51,35193.86,35385.59,10157736,0.17
2024-01-13,FTSE 100,UK,21801.23,22087.47,21595.07,21766.48,25211812,-0.16
2024-12-24,CAC 40,France,22114.37,22247.32,21610.39,21672.31,36017263,-2.0
2023-12-21,Nikkei 225,Japan,9325.92,9629.21,9116.52,9433.21,16426252,1.15
2021-09-11,Hang Seng,Hong Kong,32957.13,33091.88,32340.04,32530.55,14289764,-1.29
2024-12-27,Nikkei 225,Japan,9484.19,9681.6,9289.71,9324.66,34518945,-1.68
2022-07-10,Nikkei 225,Japan,35833.96,35953.7,35439.6,35479.19,10208953,-0.99
2023-12-03,S&P 500,USA,27430.84,27488.3,27028.68,27260.75,28751237,-0.62
2020-12-30,DAX,Germany,38354.71,38857.39,38248.52,38602.36,33165203,0.65
2022-04-06,SSE Composite,China,9300.08,9458.41,9063.04,9214.4,38348290,-0.92
2023-09-07,SSE Composite,China,3872.63,4110.34,3501.19,3520.65,28854941,-9.09
2021-12-25,CAC 40,France,11932.45,12246.05,11853.81,12127.51,15699131,1.63
2020-01-18,FTSE 100,UK,10200.34,10256.23,9614.61,9865.86,18271808,-3.28
2023-05-01,Nikkei 225,Japan,26211.97,26608.95,26164.35,26333.13,6632693,0.46
2020-02-03,Hang Seng,Hong Kong,4732.87,4925.46,4074.38,4256.51,30565896,-10.06
2021-11-23,KSE 100,Pakistan,14178.12,14228.38,13864.16,14123.77,44717554,-0.38
2023-07-26,FTSE 100,UK,15784.89,15999.06,15672.26,15913.58,5908677,0.82
2024-11-15,S&P 500,USA,1242.95,1345.36,1050.12,1344.97,49274837,8.21
2020-02-09,KSE 100,Pakistan,33787.42,34182.89,33610.31,34020.22,36908279,0.69
2024-12-07,SSE Composite,China,19286.9,19709.62,19077.01,19523.12,13548683,1.22
2020-03-15,KSE 100,Pakistan,37580.64,37696.32,37144.44,37165.75,33934251,-1.1
2020-03-02,NASDAQ Composite,USA,6608.76,6879.89,6285.11,6538.86,45310148,-1.06
2023-02-14,KSE 100,Pakistan,1388.46,2105.19,1280.03,1875.09,30045229,35.05
2021-11-01,S&P 500,USA,16196.89,16289.13,15525.86,15795.29,34985835,-2.48
2021-05-12,Dow Jones,USA,8975.75,9159.25,8549.63,8616.74,18659152,-4.0
2022-12-23,KSE 100,Pakistan,29723.28,30073.55,29626.4,30053.1,47446086,1.11
2022-11-12,Dow Jones,USA,10050.58,10344.73,9766.81,10038.95,14809021,-0.12
2023-11-13,S&P 500,USA,18093.84,18287.68,17503.66,17725.02,42800463,-2.04
2021-09-27,S&P 500,USA,14430.62,14632.92,13870.89,14064.9,33523283,-2.53
2021-07-26,NASDAQ Composite,USA,13346.71,13493.85,13081.07,13137.2,40168215,-1.57
2020-11-04,CAC 40,France,7665.31,7772.2,7480.57,7598.06,30573827,-0.88
2022-05-15,S&P 500,USA,39712.89,39950.42,39637.88,39850.15,28301395,0.35
2023-09-16,Dow Jones,USA,23081.28,23399.02,23036.61,23185.68,34438079,0.45
2021-08-15,FTSE 100,UK,21745.65,22134.97,21733.27,22003.76,43391264,1.19
2020-11-14,CAC 40,France,18648.81,18665.16,18628.02,18655.37,33503123,0.04
2024-12-17,Hang Seng,Hong Kong,3365.96,3568.03,3105.53,3460.12,21882196,2.8
2022-06-23,Nikkei 225,Japan,2557.06,2746.16,2467.42,2488.49,25883038,-2.68
2021-07-10,Nikkei 225,Japan,38555.36,38568.49,38191.88,38194.62,41380877,-0.94
2024-01-21,CAC 40,France,38146.38,38881.45,37905.7,38609.07,3285302,1.21
2024-06-26,Dow Jones,USA,14900.02,15360.17,14638.61,15270.81,1379205,2.49
2022-12-03,KSE 100,Pakistan,34940.86,34951.05,34663.41,34836.25,48538875,-0.3
2024-11-22,CAC 40,France,23749.41,23853.7,23257.67,23551.05,46945924,-0.84
2023-08-09,KSE 100,Pakistan,13997.9,14222.43,13690.22,13717.48,15423373,-2.0
2022-07-05,Dow Jones,USA,28069.01,28665.78,27937.46,28423.65,45874563,1.26
2022-11-26,KSE 100,Pakistan,17566.15,17689.97,17106.78,17171.1,33020626,-2.25
2021-07-04,Dow Jones,USA,36540.0,36644.52,36366.03,36427.35,30195348,-0.31
2021-09-13,NASDAQ Composite,USA,12661.35,12947.1,12249.92,12372.87,7895302,-2.28
2024-03-30,FTSE 100,UK,37798.15,37939.69,37353.87,37576.87,33035726,-0.59
2024-03-11,SSE Composite,China,11195.93,11306.52,10820.45,10993.46,16158139,-1.81
2024-01-30,Hang Seng,Hong Kong,17843.57,17973.9,17779.42,17922.88,4549030,0.44
2022-07-09,KSE 100,Pakistan,34319.58,34811.36,34179.53,34657.29,33751475,0.98
2021-08-15,NASDAQ Composite,USA,14025.91,14110.41,13766.74,13835.08,23138665,-1.36
2020-06-05,Dow Jones,USA,26474.3,26764.17,26082.87,26323.35,24268496,-0.57
2023-08-04,SSE Composite,China,15556.32,15741.71,15139.0,15218.88,2416616,-2.17
2024-06-06,DAX,Germany,18519.97,18551.2,18351.97,18505.51,20852053,-0.08
2022-09-19,Hang Seng,Hong Kong,29948.75,30145.71,29618.4,29626.46,12664235,-1.08
2020-10-02,Hang Seng,Hong Kong,5443.59,5545.46,4934.29,5027.54,3282583,-7.64
